Country Code ISO3;Country;year;population;eusubreg;gdp/capita;sdg1_transfer;sdg1_umicpov;sdg1_material;sdg2_obesity;sdg2_trophic;sdg2_ammonia;sdg3_eulifee;sdg3_legap;sdg3_avoidable;sdg3_ghealth;sdg3_eutb;sdg3_suicide;sdg3_hgap;sdg3_u5mort;sdg3_incgap;sdg3_road;sdg3_binge;sdg3_vac;sdg3_smoking;sdg3_insucov;sdg3_ehealth;sdg3_oopocket;sdg3_swb;sdg4_earlyleav;sdg4_child;sdg4_pisa;sdg4_tertiary;sdg4_underach;sdg4_adult;sdg4_socioec;sdg5_empgap;sdg5_paygap;sdg5_caring;sdg5_wparl;sdg5_wmanage;sdg5_ictwomen;sdg6_shower;sdg6_exploit;sdg6_wastew;sdg6_safewat;sdg6_safesan;sdg7_warm;sdg7_eurenew;sdg7_co2twh;sdg8_income;sdg8_rights;sdg8_accident;sdg8_impacc;sdg8_euyneet;sdg8_unemp;sdg8_inwork;sdg9_uni;sdg9_epo;sdg9_eurd;sdg9_lpi;sdg9_bband;sdg9_bbandgap;sdg9_rdperson;sdg9_articles;sdg10_gini;sdg10_palma;sdg11_crowding;sdg11_recycle;sdg11_eupm25;sdg11_hburden;sdg11_dwelling;sdg12_explastic;sdg12_circular;sdg12_value;sdg12_nprod;sdg12_nimport;sdg13_co2gcp;sdg13_ghgimport;sdg14_bath;sdg14_fishstocks;sdg14_cpma;sdg14_trawl;sdg14_discard;sdg15_redlist;sdg15_cpta;sdg15_oxygen;sdg15_cpfa;sdg15_nitrate;sdg16_rsf;sdg16_cpi;sdg16_crime;sdg16_homicide;sdg16_crimepov;sdg16_detain;sdg16_justice;sdg16_admin;sdg16_power;sdg17_oda;sdg17_statperf;sdg17_sprofits
EUU;European Union;2022;;;;16;1;;;;;81;;;67;;;21;;2;;;;;;34;;7;10;;477;42;30;12;18;11;;1;34;35;19;;;;97;91;9;;;;1;;;12;;9;56;151;;;92;4;;2;30;;28;;;9;;;;;;;;;82;;83;;;1;78;;79;;76;66;;;;;1;1;1;0;;
EUU;European Union;2023;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;77;;;;;;;;;;;
FIN;Finland;2018;5513064;Northern Europe;36740;12;1;3;;;13;82;2;230;69;5;14;26;2;4;4;;91;;100;44;18;8;8;86;516;40;15;29;11;4;17;0;42;35;20;0;1;85;100;89;2;41;1;24181;1;1;0;10;7;3;55;313;3;4;94;2;2;4;26;1;20;42;6;4;5;;6;6;51,82;31;8;10;85;3;61;;0;1;72;;76;;90;85;7;1;2;18;1;1;1;0;89;5
FIN;Finland;2019;5517858;Northern Europe;37150;12;1;2;21;;13;82;2;223;69;5;13;29;2;3;4;;91;;100;;17;8;7;89;;42;;29;;3;17;0;47;34;21;0;1;85;100;90;2;43;1;24665;1;1;;9;7;3;56;309;3;;94;4;2;4;26;1;21;44;5;4;4;;6;6;;;8;9;86;;61;0;0;1;72;;76;;92;86;6;1;3;22;1;1;1;0;88;5
FIN;Finland;2020;5525215;Northern Europe;36220;12;1;3;;;12;82;2;229;70;4;13;25;2;4;4;;90;15;100;53;16;8;8;91;;44;;27;;3;17;0;46;35;23;0;;85;100;90;2;44;;25072;1;1;;10;8;3;55;343;3;;96;4;2;4;27;1;21;42;;4;5;;6;6;;;7;7;89;;61;;;1;72;;76;;92;85;7;1;7;;1;1;1;0;;
FIN;Finland;2021;5533721;Northern Europe;37170;11;1;;;;12;82;3;;70;4;;25;2;4;4;;89;;100;;16;8;8;91;;40;;31;;2;17;0;46;35;24;;;85;100;90;1;43;;25826;1;1;;9;;3;54;380;3;;97;3;2;4;26;;21;39;;4;;5;2;6;;;7;8;88;;61;;;1;72;;76;;93;88;;;;;1;1;1;0;;
FIN;Finland;2022;5538263;Northern Europe;37560;13;1;;;;;81;;;65;;;22;;5;;;;;100;65;;8;8;;495;41;25;25;12;1;;0;46;36;24;;;;100;90;1;;;27009;1;;;9;;3;55;386;;;98;2;;4;27;;23;;;5;;;;;;;;;89;;61;;;1;72;;76;;88;87;;;;;1;1;1;1;;
FIN;Finland;2023;5543228;Northern Europe;36980;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;88;;;;;;;;;;;
FRA;France;2018;64213858;Western Europe;32800;13;0;5;;;19;83;4;189;68;9;13;13;4;2;5;;90;;100;25;10;7;9;100;494;47;21;19;21;6;17;1;37;44;19;0;2;80;99;89;5;16;1;24609;1;3;0;13;9;7;61;156;2;4;89;2;2;2;29;1;24;41;12;5;13;;20;2;47,30;20;5;6;79;21;78;25;14;1;74;;71;28;78;72;15;1;4;29;1;1;1;0;87;47
FRA;France;2019;64341757;Western Europe;33250;14;0;5;15;;19;83;4;186;67;9;13;14;4;2;5;4;92;;100;;9;7;8;100;;48;;20;;6;16;1;37;45;20;0;3;80;99;89;6;17;1;25524;1;4;;12;8;7;67;152;2;;90;2;2;2;29;1;23;41;10;6;12;;20;2;;;5;6;80;;82;27;13;1;79;;76;19;78;69;15;1;8;30;1;1;1;0;86;43
FRA;France;2020;64457760;Western Europe;30630;14;0;5;;;18;82;4;202;68;8;13;18;4;5;4;;92;28;100;;9;7;8;100;;49;;13;;6;16;1;39;45;20;0;;80;100;90;7;19;;25926;1;3;;13;8;7;67;157;2;;;;2;2;29;;25;42;;6;18;;19;2;;;4;5;77;;82;;;1;81;;78;19;77;69;18;1;11;;1;1;1;1;;
